Members,Lengths,Member Forces
1,2.150581317,-199.6928007
2,2,116.0771897
3,2.150581317,-199.6928007
4,2,116.0771897
5,3.020761493,-170.7347337
6,1.903943276,99.92967517
7,3.640054945,-161.6541847
8,1,26.24252493
9,4.366062299,-47.73956335
10,4.031128874,-149.8629641
11,3.640054945,-161.6541847
12,4.366062299,-47.73956335
13,4.031128874,-149.8629641
14,3.75,247.285225
15,2.828427125,-129.8886013
16,2.657536453,58.11697232
17,3.5,304.6875
18,3.020761493,-170.7347337
19,1.903943276,99.9296752
20,1,26.24252493
21,3.75,247.285225
22,2.828427125,-129.8886014
23,2.657536453,58.11697232
